Model,Embedding,Experiment,Accuracy,F1,Recall,Precision
AdaBoost,Word2Vec,E3,0.65,0.63,0.65,0.63
NaiveBayes,GloVe,E4,0.52,0.54,0.52,0.59
LogReg,GloVe,E4,0.71,0.71,0.71,0.71
SVM,GloVe,E4,0.72,0.71,0.72,0.73
XGBoost,GloVe,E4,0.69,0.68,0.69,0.68
RandomForest,GloVe,E4,0.6,0.51,0.6,0.49
AdaBoost,GloVe,E4,0.64,0.64,0.64,0.63
NaiveBayes,Tf-idf,E4,0.47,0.37,0.47,0.61
LogReg,Tf-idf,E4,0.6,0.58,0.6,0.6
SVM,Tf-idf,E4,0.58,0.56,0.58,0.6
XGBoost,Tf-idf,E4,0.57,0.56,0.57,0.57
RandomForest,Tf-idf,E4,0.41,0.24,0.41,0.17
AdaBoost,Tf-idf,E4,0.5,0.49,0.5,0.49
NaiveBayes,SentEmbeddings,E4,0.53,0.54,0.53,0.57
LogReg,SentEmbeddings,E4,0.69,0.66,0.69,0.7
SVM,SentEmbeddings,E4,0.73,0.72,0.73,0.74
XGBoost,SentEmbeddings,E4,0.69,0.68,0.69,0.68
RandomForest,SentEmbeddings,E4,0.49,0.39,0.49,0.4
AdaBoost,SentEmbeddings,E4,0.61,0.6,0.61,0.61
NaiveBayes,BoW,E4,0.52,0.5,0.52,0.53
LogReg,BoW,E4,0.63,0.62,0.63,0.62
SVM,BoW,E4,0.61,0.6,0.61,0.61
XGBoost,BoW,E4,0.57,0.57,0.57,0.57
RandomForest,BoW,E4,0.41,0.24,0.41,0.17
AdaBoost,BoW,E4,0.51,0.5,0.51,0.5
NaiveBayes,Fasttext,E4,0.53,0.55,0.53,0.6
LogReg,Fasttext,E4,0.73,0.72,0.73,0.73
SVM,Fasttext,E4,0.74,0.73,0.74,0.74
XGBoost,Fasttext,E4,0.71,0.7,0.71,0.7
RandomForest,Fasttext,E4,0.63,0.53,0.63,0.49
AdaBoost,Fasttext,E4,0.65,0.65,0.65,0.65
NaiveBayes,Word2Vec,E4,0.42,0.42,0.42,0.5
LogReg,Word2Vec,E4,0.68,0.66,0.68,0.7
SVM,Word2Vec,E4,0.67,0.62,0.67,0.7
XGBoost,Word2Vec,E4,0.7,0.7,0.7,0.7
RandomForest,Word2Vec,E4,0.63,0.53,0.63,0.49
AdaBoost,Word2Vec,E4,0.65,0.64,0.65,0.64
